Dataset Size	Classifier	Fold Number	Accuracy	Confusion Matrix
1000000	LinearSVC	5	0.79936	"[[73787 26281]
 [13847 86085]]"
1000000	KNN	1	0.602365	"[[88096 11758]
 [67769 32377]]"
1000000	KNN	2	0.60143	"[[87973 11793]
 [67921 32313]]"
1000000	KNN	3	0.602615	"[[88001 12076]
 [67401 32522]]"
1000000	KNN	4	0.60195	"[[87966 11935]
 [67675 32424]]"
1000000	KNN	5	0.602155	"[[88031 12037]
 [67532 32400]]"
1000000	Random Forest	1	0.68253	"[[65671 34183]
 [29311 70835]]"
1000000	Random Forest	2	0.683775	"[[65600 34166]
 [29079 71155]]"
1000000	Random Forest	3	0.684445	"[[66238 33839]
 [29272 70651]]"
1000000	Random Forest	4	0.68382	"[[65850 34051]
 [29185 70914]]"
1000000	Random Forest	5	0.68373	"[[66013 34055]
 [29199 70733]]"
